"filename", "language", "TypeScript", "wxml", "CSS", "JSON", "XML", "comment", "blank", "total"
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\app.json", "JSON", 0, 0, 0, 1, 0, 0, -1, 0
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\app.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\goods\goods.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 2
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\goods\goods.wxml", "wxml", 0, 1, 0, 0, 0, 0, 0, 1
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\goods\goods.wxss", "CSS", 0, 0, 13, 0, 0, 0, 1, 14
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\icons\前往书架.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\icons\头像5.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\icons\收书.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\icons\编辑资料.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\Bookshell\Bookshell.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\Bookshell\Bookshell.ts", "TypeScript", 39, 0, 0, 0, 0, 29, 18, 86
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\Bookshell\Bookshell.wxml", "wxml", 0, 2, 0, 0, 0, 0, 0, 2
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\Bookshell\Bookshell.wxss", "CSS", 0, 0, 0, 0, 0, 1, 0, 1
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\ChangeSelf\ChangeSelf.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\ChangeSelf\ChangeSelf.ts", "TypeScript", 39, 0, 0, 0, 0, 29, 18, 86
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\ChangeSelf\ChangeSelf.wxml", "wxml", 0, 2, 0, 0, 0, 0, 0, 2
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\ChangeSelf\ChangeSelf.wxss", "CSS", 0, 0, 0, 0, 0, 1, 0, 1
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\good\good.ts", "TypeScript", -6, 0, 0, 0, 0, 1, 1, -4
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\good\good.wxml", "wxml", 0, 0, 0, 0, 0, 0, -7, -7
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\个人资料设置页面\个人资料设置页面.ts", "TypeScript", 19, 0, 0, 0, 0, 1, 1, 21
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页1\主页1.ts", "TypeScript", 17, 0, 0, 0, 0, 2, 3, 22
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页2\主页2.ts", "TypeScript", 18, 0, 0, 0, 0, 1, 2, 21
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页3\主页3.ts", "TypeScript", 18, 0, 0, 0, 0, 1, 2, 21
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页4\主页4.ts", "TypeScript", 83, 0, 0, 0, 0, 6, 0, 89
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页4\主页4.wxml", "wxml", 0, 23, 0, 0, 0, 0, 10, 33
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页4\主页4.wxss", "CSS", 0, 0, 10, 0, 0, 1, 0, 11
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\出书页\出书页.ts", "TypeScript", 26, 0, 0, 0, 0, 1, 1, 28
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\商品界面\商品界面.ts", "TypeScript", 18, 0, 0, 0, 0, 1, 2, 21
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\搜索界面\搜索界面.ts", "TypeScript", 19, 0, 0, 0, 0, 1, 2, 22
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\搜索结果界面\搜索结果界面.ts", "TypeScript", 18, 0, 0, 0, 0, 1, 2, 21
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\搜索结果界面\搜索结果界面.wxss", "CSS", 0, 0, 4, 0, 0, 0, 0, 4
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\支付页面\支付页面.ts", "TypeScript", 18, 0, 0, 0, 0, 1, 0, 19
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\收书页\收书页.ts", "TypeScript", 19, 0, 0, 0, 0, 1, 1, 21
"Total", "-", 348, 28, 27, 7, 4, 79, 57, 550
