"filename", "language", "JSON", "wxml", "TypeScript", "CSS", "comment", "blank", "total"
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\app.json", "JSON", 2, 0, 0, 0, 0, 0, 2
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\shop-goods\shop-goods.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 2
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\shop-goods\shop-goods.wxml", "wxml", 0, 0, 0, 0, 0, 1, 1
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\shop-goods\shop-goods.wxss", "CSS", 0, 0, 0, 16, 0, 1, 17
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\Bookshell\Bookshell.json", "JSON", 2, 0, 0, 0, 0, 0, 2
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\Bookshell\Bookshell.ts", "TypeScript", 0, 0, 110, 0, 8, 3, 121
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\Bookshell\Bookshell.wxml", "wxml", 0, 26, 0, 0, 0, 0, 26
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\Bookshell\Bookshell.wxss", "CSS", 0, 0, 0, 43, 2, 6, 51
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页1\主页1.ts", "TypeScript", 0, 0, 21, 0, 3, -2, 22
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页1\主页1.wxml", "wxml", 0, 2, 0, 0, 0, 1, 3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页1\主页1.wxss", "CSS", 0, 0, 0, 21, 0, 1, 22
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页4\主页4.ts", "TypeScript", 0, 0, 29, 0, 6, 1, 36
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页4\主页4.wxss", "CSS", 0, 0, 0, 1, 0, 0, 1
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\搜索界面\搜索界面.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 6
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\搜索结果界面\搜索结果界面.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\搜索结果界面\搜索结果界面.ts", "TypeScript", 0, 0, 13, 0, 2, -1, 14
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\搜索结果界面\搜索结果界面.wxml", "wxml", 0, -1, 0, 0, 0, 0, -1
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\搜索结果界面\搜索结果界面.wxss", "CSS", 0, 0, 0, 4, 0, 1, 5
"d:\CodeForEverthing\codeforwepro\miniprogram-1\project.private.config.json", "JSON", 7, 0, 0, 0, 0, 0, 7
"Total", "-", 14, 27, 181, 85, 21, 12, 340
