"filename", "language", "JSON", "JSON with Comments", "JavaScript", "CSS", "TypeScript", "XML", "wxml", "comment", "blank", "total"
"d:\CodeForEverthing\codeforwepro\miniprogram-1\.eslintrc.js", "JavaScript", 0, 0, -25, 0, 0, 0, 0, -6, -1, -32
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\app.json", "JSON", -63, 0, 0, 0, 0, 0, 0, 0, 0, -63
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\app.ts", "TypeScript", 0, 0, 0, 0, -27, 0, 0, -5, -2, -34
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\app.wxss", "CSS", 0, 0, 0, -9, 0, 0, 0, -1, 0, -10
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\cart-goods\cart-goods.json", "JSON", -6, 0, 0, 0, 0, 0, 0, 0, -1, -7
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\cart-goods\cart-goods.ts", "TypeScript", 0, 0, 0, 0, -353, 0, 0, -28, -24, -405
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\cart-goods\cart-goods.wxml", "wxml", 0, 0, 0, 0, 0, 0, -13, 0, -2, -15
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\cart-goods\cart-goods.wxss", "CSS", 0, 0, 0, -44, 0, 0, 0, 0, 0, -44
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\goods\goods.json", "JSON", -6, 0, 0, 0, 0, 0, 0, 0, -1, -7
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\goods\goods.ts", "TypeScript", 0, 0, 0, 0, -355, 0, 0, -28, -24, -407
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\goods\goods.wxml", "wxml", 0, 0, 0, 0, 0, 0, -14, 0, -1, -15
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\goods\goods.wxss", "CSS", 0, 0, 0, -67, 0, 0, 0, -1, -1, -69
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\shop-goods\shop-goods.json", "JSON", -6, 0, 0, 0, 0, 0, 0, 0, -1, -7
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\shop-goods\shop-goods.ts", "TypeScript", 0, 0, 0, 0, -355, 0, 0, -28, -23, -406
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\shop-goods\shop-goods.wxml", "wxml", 0, 0, 0, 0, 0, 0, -12, 0, -2, -14
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\conponents\shop-goods\shop-goods.wxss", "CSS", 0, 0, 0, -59, 0, 0, 0, -1, -1, -61
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\icons\二手购物.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
